Produto,Preço,Marca
Neolefrin Paracetamol 800mg + Cloridrato Fenillefrina 20mg + Maleato De Carbinoxamina 4mg 20 Comprimidos,"R$11,25",Neolefrin
Aerolin Sulfato De Salbutamol 100mcg Spray 200 Doses,"R$26,63",Aerolin
Nicorette Icemint 2mg Goma Mastigável Para Parar De Fumar 30 Unidades,"R$4,99",Nicorette
Neosaldina Analgésico 30 Drágeas,"R$12,90",Neosaldina
Sal De Fruta Eno Abacaxi Pó Efervescente 5g 2 Envelopes,"R$16,99",Eno
Insulina Glargilin 100U/Ml Solução Injetável 3ml + 1 Caneta Aplicadora Geladeira,"R$83,99",Glargilin
Antialérgico Allegra Cloridrato De Fexofenadina 120mg 10 Comprimidos,"R$46,07",Allegra
Apresolina Hidralazina 25mg 60 Drágeas,"R$4,99",Apresolina
Sal De Fruta Eno Tradicional Pó Efervescente 100g,"R$71,49",Eno
Neosaldina Analgésico 10 Drágeas,"R$67,98",Neosaldina
Bisalax 5mg 20 Drágeas,"R$29,69",Bisalax
Sal De Fruta Eno Laranja Pó Efervescente 100g,"R$26,89",Eno
Ibuflex Ibuprofeno 400mg 8 Cápsulas,"R$18,19",Ibuflex
Nicorette Icemint 4mg Goma Mastigável Para Parar De Fumar 30 Unidades,"R$8,85",Nicorette
Novalgina Infantil Dipirona 50mg/Ml Solução Oral 100ml + Seringa Dosadora,"R$26,59",Novalgina
Naxotec Naproxeno 500mg 10 Comprimidos,"R$10,90",Naxotec
"Sal De Andrews Sulfato De Magnésio 0,88g Sachê Efervescente 5g","R$91,49",Andrews
Allexofedrin Cloridrato De Fexofenadina 120mg 10 Comprimidos,"R$41,19",Allexofedrin
Tylenol Paracetamol 750mg Múltiplas Dores 20 Comprimidos,"R$20,07",Tylenol
"Rinosoro Alto Volume 9,0mg/Ml Descongestionante Spray 30 Sachês","R$14,89",Rinosoro
Antialérgico Allegra Cloridrato De Fexofenadina 60mg 10 Comprimidos,"R$1,93",Allegra
Advil Ibuprofeno 400mg 12 Cápsulas,"R$20,99",Advil
Decongex Plus 4 Comprimidos,"R$39,99",Decongex Plus
Tylenol Paracetamol Bebê 100mg/Ml Suspensão Oral Sabor Frutas 15ml,"R$79,72",Tylenol
Salsep Jet Descongestionante Spray 100ml,"R$50,22",Salsep
"Levonorgestrel 1,5mg 1 Comprimido Biosintética Genéricos","R$37,19",Aché
Dipirona Monoidratada 500mg/Ml Solução Oral 20ml Medley Genérico,"R$7,99",Dipirona Sodica
"Rinosoro 9,0mg/Ml Descongestionante Spray 50ml","R$29,39",Rinosoro
Dorflex UNO Dipirona 1g 20 Comprimidos,"R$26,89",Dorflex Uno
Wegovy Semaglutida 1mg Solução Injetável 3ml + 4 Agulhas,"R$999,00",Wegovy
Antialérgico Allegra Pediátrico Cloridrato De Fexofenadina 6mg/Ml Suspensão Oral 150ml Com Seringa,"R$91,05",Allegra
Neosaldina Analgésico 4 Drágeas,"R$8,65",Neosaldina
Cloridrato De Valaciclovir 500mg 10 Comprimidos Ranbaxy Genérico,"R$127,98",Ranbaxy
Vick Pyrena Grip-7 Paracetamol 400mg + Cloridrato Fenillefrina 4mg + Maleato De Clorfeniramina 4mg 10 Cápsulas,"R$14,59",Vick
Nexflen 550mg - Naproxeno Sódico - 10 Comprimidos,"R$21,68",Nexflen
Naturetti Extratos Vegetais Sem Açúcar 16 Cápsulas,"R$56,49",Naturetti
Fosfato De Oseltamivir 75mg 10 Cápsulas Natcofarma Genérico,"R$193,98",Natcofarma
Naldecon Pack Dia E Noite Paracetamol + Cloridrato Fenillefrina + Maleato De Carbinoxamina 24 Comprimidos,"R$58,19",Naldecon
Aciclovir 200mg 25 Comprimidos Sandoz Genérico,"R$21,00",Sandoz
Buscofem Ibuprofeno 400mg 10 Cápsulas,"R$33,11",Buscofem
"Wegovy Semaglutida 0,25mg Solução Injetável 1,5ml + 4 Agulhas","R$23,18",Wegovy
Naproxeno Sódico 550mg 10 Comprimidos Neo Química Genérico,"R$875,00",Naproxeno
Lacto-Purga 5mg 16 Comprimidos,"R$27,10",Lacto Purga
Ebastel 10mg 10 Comprimidos,"R$13,19",Ebastel
CremeFenergan 20mg/G Creme Dermatológico 30g,"R$71,98",Fenergan
"Maresis 0,9% Descongestionante Spray Nasal Jato Contínuo 100ml","R$27,78",Maresis
Vick Vaporub Descongestionante Pomada 30g,"R$50,99",Vick
Sonridor Caf Paracetamol 500mg + Cafeína 65mg 4 Comprimidos Efervescentes,"R$38,59",Sonridor
Óleo Mineral União Química 100ml,"R$16,99",Óleo Mineral
Decongex Plus Pediátrico Gotas 20ml,"R$19,29",Decongex Plus
Sal De Fruta Eno Limão Pó Efervescente 5g 2 Envelopes,"R$17,59",Eno
Spray Para Garganta Extrato De Própolis Apis Vida Sabor Gengibre 30ml,"R$4,99",Apis Vida
Phosfoenema Solução 130ml,"R$19,90",Phosfoenema
Ibuprofeno 400mg 10 Cápsulas Medley Genérico,"R$20,39",Ibuprofeno
Coristina D Congest Maleato De Bronfeniramina 12mg + Cloridrato De Filefrina 15mg 12 Comprimidos,"R$9,99",Coristina D
Advil Ibuprofeno 400mg 20 Cápsulas,"R$8,00",Advil
Flanax Naproxeno Sódico 550mg 15 Comprimidos,"R$27,33",Flanax
Lacto Purga 5mg 12 Comprimidos,"R$22,96",Lacto Purga
Silimalon Silimarina 70mg + Racemetionina 100mg 30 Comprimidos,"R$51,91",Silimalon
Needs Óleo Mineral Puro 100ml,"R$28,49",Needs
Histamin 2mg/5ml Xarope 100ml,"R$9,75",Histamin
Advil Ibuprofeno 400mg 8 Cápsulas,"R$79,40",Advil
Trezete Rosuvastatina Cálcica 10mg + Ezetimiba 10mg 60 Comprimidos,"R$14,99",Trezete
Cloridrato De Ondansetrona 4mg 10 Comprimidos Biolab Genérico Sabor Morango,"R$16,90",Biolab
Flanax Naproxeno Sódico 550mg 10 Comprimidos,"R$22,93",Flanax
Sigma-Clav BD Amoxicilina Tri-Hidratada 400mg/5ml + Clavulanato De Potássio 57mg/5ml Pó Para Suspensão Oral 70ml + Copo Dosador + Seringa Dosadora,"R$137,99",Sigma-Clav
Oscillococcinum 200k Anas Barbariae Hepatis Et Cordis Extractum 200k 6 Tubos De 1g Cada,"R$20,49",Oscillococcinum
Meloxicam 15mg 10 Comprimidos Eurofarma Genérico,"R$28,99",Eurofarma
"Kollagenase 0,6U/G Pomada Dermatológica 30g","R$31,79",Kollagenase
Spray Para Garganta Natz Mel E Própolis 30ml,"R$92,99",Natz
Extrato De Própolis Verde 70 Apis Flora Solução Gotas 30ml,"R$19,69",Apis Flora
Bisalax 5mg 6 Comprimidos,"R$74,80",Bisalax
AAS Ácido Acetilsalicílico 100mg 10 Comprimidos,"R$16,99",Aas
Salsep Descongestionante Spray 50ml,"R$55,79",Salsep
"Wegovy Semaglutida 2,4mg Solução Injetável 3ml + 4 Agulhas","R$1699,00",Wegovy
Doril Enxaqueca Ácido Acetilsalicílico 250mg + Paracetamol 250mg + Cafeína 65mg 4 Comprimidos,"R$10,59",Doril
Benegrip Multi Sabor Frutas Vermelhas 240ml,"R$34,82",Benegrip
Antialérgico Allegra Cloridrato De Fexofenadina 180mg 10 Comprimidos,"R$100,99",Allegra
Pediletan Permetrina 10mg/G Loção Capilar 60ml,"R$28,09",Pediletan
Naproxeno 500mg 20 Comprimidos Teuto Genérico,"R$18,48",Naproxeno
Advil 12h Ibuprofeno 600mg 6 Comprimidos,"R$25,18",Advil
Ibuliv Ibuprofeno 400mg 8 Cápsulas,"R$7,45",Ibuliv
Blumel Hedera Extrato Seco De Hedera Helix L. 15mg/Ml Xarope 100ml,"R$38,51",Blumel
"Vick Inalador Descongestionante Nasal 0,5g 1 Unidade","R$19,09",Vick
Laxante Fitoterápico Tamarine Zero Açúcar Geleia 150g,"R$83,99",Tamarine
"Rinosoro Alto Volume 9,0mg/Ml Descongestionante Spray 30 Sachês + Frasco Aplicador","R$95,63",Rinosoro
Fostair Dipropionato De Beclometasona 100mcg + Fumarato De Formoterol 6mcg Solução Aerossol 120 Doses Geladeira,"R$126,62",Fostair
"Rinosoro Jet Infantil 0,9% Descongestionante Spray Jato Suave 100ml","R$50,14",Rinosoro
L-Enema Solução Retal 130ml,"R$22,29",L-Enema
Zyxem Dicloridrato De Levocetirizina 5mg/Ml Gotas 20ml,"R$86,99",Zyxem
Antiácido Eno Frutas Sortidas 48 Pastilhas Mastigáveis,"R$44,90",Eno
Spray Para Garganta Extrato De Própolis Apis Vida Sabor Menta E Romã 30ml,"R$19,90",Apis Vida
Tylenol DC Múltiplas Dores Paracetamol 500mg + Cafeína 65mg - 20 Comprimidos,"R$38,99",Tylenol
Sal De Fruta Eno Abacaxi Pó Efervescente 100g,"R$28,39",Eno
Maleato De Bronfeniramina 12mg + Cloridrato De Fenilefrina 15mg 12 Comprimidos Neo Química Genérico,"R$20,50",Neo Química
Dipirona Monoidratada 500mg/Ml Solução Oral 10ml Medley Genérico,"R$12,17",Dipirona Sodica
Flanax Naproxeno Sódico 275mg 20 Comprimidos,"R$3,99",Flanax
Insit Pregabalina 25mg 30 Cápsulas,"R$18,29",Insit
Tylenol Paracetamol 750mg Múltiplas Dores 10 Comprimidos,"R$34,19",Tylenol
"Wegovy Semaglutida 1,7mg Solução Injetável 3ml + 4 Agulhas","R$22,89",Wegovy
Neolefrin Dia Paracetamol 800mg + Cloridrato Fenillefrina 20mg 20 Comprimidos,"R$1399,00",Neolefrin
Doril Enxaqueca Ácido Acetilsalicílico 250mg + Paracetamol 250mg + Cafeína 65mg 8 Comprimidos,"R$12,90",Doril
"Ablok Plus Atenolol 25mg + Clortalidona 12,5mg 30 Comprimidos","R$14,79",Ablok
Vibral 3mg/Ml Sabor Framboesa Xarope 120ml,"R$24,59",Vibral
Dorflex UNO Dipirona 1g 10 Comprimidos,"R$33,34",Dorflex Uno
Buscofem Ibuprofeno 400mg 20 Cápsulas,"R$23,34",Buscofem
"Wegovy Semaglutida 0,5mg Solução Injetável 1,5ml + 4 Agulhas","R$17,48",Wegovy
Tylenol Paracetamol 500mg Múltiplas Dores 20 Comprimidos,"R$51,99",Tylenol
Neo Loratadin Loratadina 10mg 12 Comprimidos,"R$963,00",Neo Loratadin
Descon Maleato De Bronfeniramina 2mg/5ml + Cloridrato De Fenilefrina 5mg/5ml Xarope 120ml,"R$34,39",Descon
Ebastel 1mg/Ml Xarope 60ml,"R$14,59",Ebastel
Tylenol DC Múltiplas Dores Paracetamol 1g + Cafeína 130g - 4 Comprimidos,"R$21,73",Tylenol
Sorine Jet Duo Spray Nasal 100ml,"R$17,82",Sorine
Supositório De Glicerina Infantil Granado Para Lactentes 12 Supositórios,"R$72,98",Granado
Naturetti Sabor Ameixa Sem Açúcar Geleia 130g,"R$8,99",Naturetti
Vick Pyrena Grip-7 Paracetamol 400mg + Cloridrato Fenillefrina 4mg + Maleato De Clorfeniramina 4mg 5 Cápsulas,"R$47,53",Vick
Vick Pyrena Grip-7 Paracetamol 400mg + Cloridrato Fenillefrina 4mg + Maleato De Clorfeniramina 4mg 20 Cápsulas,"R$24,19",Vick
Maleato De Bronfeniramina 2mg + Cloridrato De Fenilefrina 5mg Xarope 120ml Neo Química Genérico,"R$73,48",Neo Química
Fluimucil Acetilcisteína 600mg Sabor Limão 16 Comprimidos Efervescentes,"R$8,44",Fluimucil
Buscopan Composto Solução Gotas 20ml,"R$24,39",Buscopan
Vastarel MR Trimetazidina 35mg 30 Comprimidos,"R$18,90",Vastarel
Sal De Fruta Eno Tônica Pó Efervescente 5g 2 Envelopes,"R$71,98",Eno
"Pulmicort Budesonida 0,25mg 5 Ampolas","R$55,19",Pulmicort
Tylenol Paracetamol 750mg 4 Comprimidos,"R$10,26",Tylenol
Allexofedrin Cloridrato De Fexofenadina 180mg 10 Comprimidos,"R$30,79",Allexofedrin
Flanax Naproxeno Sódico 550mg 2 Comprimidos,"R$7,29",Flanax
Vick VapoRub Descongestionante Pomada 50g,"R$56,79",Vick
Spray Para Garganta Neopiridin Menta 50ml,"R$25,49",Neopiridin
"Atacand HCT Candesartana Cilexetila 16mg + Hidroclorotiazida 12,5mg 30 Comprimidos","R$121,18",Atacand
Doril Enxaqueca Ácido Acetilsalicílico 250mg + Paracetamol 250mg + Cafeína 65mg 18 Comprimidos,"R$40,79",Doril
Nuromol Ibuprofeno 200mg + Paracetamol 500mg Com 12 Comprimidos,"R$32,99",Nuromol
Escabin Pro 4% Emulsão Capilar Com 100ml,"R$40,49",Escabin
Flanax XR Naproxeno Sódico 660mg 8 Comprimidos,"R$29,59",Flanax
Linadib Linagliptina 5mg 30 Comprimidos,"R$111,49",Linadib
Tylenol Criança Paracetamol 32mg/Ml Suspensão Oral Sabor Frutas 60ml,"R$53,59",Tylenol
Sal De Fruta Eno Guaraná Pó Efervescente 100g,"R$28,39",Eno
Cimegripe Cloridrato Fenillefrina 4mg + Paracetamol 400mg + Maleato De Clorfeniramina 4mg 4 Cápsulas,"R$4,83",Cimegripe
Buscopan Pediátrico Butilbrometo De Escopolamina 10mg/Ml Solução Oral 20ml,"R$28,09",Buscopan
Citalopram 20mg 28 Comprimidos Aché Biosintética Genérico,"R$20,49",Aché
Sigma Clav BD Amoxicilina Tri-Hidratada 875mg + Clavulanato De Potássio 125mg 14 Comprimidos,"R$85,99",Sigma-Clav
Cimegripe Cloridrato Fenillefrina 4mg + Paracetamol 400mg + Maleato De Clorfeniramina 4mg 10 Cápsulas,"R$8,90",Cimegripe
Advil Mulher Ibuprofeno 400mg 10 Cápsulas,"R$32,06",Advil
Coristina D Congest Maleato De Bronfeniramina 12mg + Cloridrato De Filefrina 15mg 4 Comprimidos,"R$9,26",Coristina D
NiQuitin 14mg Adesivos Para Parar De Fumar 7 Unidades,"R$6,95",Niquitin
Victoza Liraglutida 6mg/Ml Solução Injetável 2 Sistemas De Aplicação De 3ml Cada Geladeira,"R$119,99",Victoza
Fosfato De Oseltamivir 30mg 10 Cápsulas Natcofarma Genérico,"R$599,59",Natcofarma
Descon Maleato De Bronfeniramina 12mg + Cloridrato De Fenilefrina 15mg 12 Comprimidos,"R$79,99",Descon
Allexofedrin Pediátrico 6mg/Ml Sabor Framboesa Suspensão Oral 60ml,"R$27,33",Allexofedrin
Infludoron Ferrum Phosphoricum D6 + Associações Glóbulos 20g,"R$22,96",Infludoron
Sinudoron Berberis Vulgaris D2 + Associações 80 Comprimidos,"R$29,29",Weleda
Coristina D Congest Maleato De Bronfeniramina 2mg/5ml + Cloridrato De Filefrina 5mg/5ml Xarope 120ml,"R$110,90",Coristina D
Linadib Linagliptina 5mg 60 Comprimidos,"R$108,90",Linadib
"Vibral Pediátrico 1,5mg/Ml Sabor Framboesa Xarope 120ml","R$21,73",Vibral
"Dostinex Cabergolina 0,5mg 2 Comprimidos","R$17,82",Dostinex
Eparema 10 Drágeas,"R$252,00",Eparema
Composto De Mel E Própolis Natz Gengibre E Hortelã 300g,"R$28,75",Natz
Zina ODT Dicloridrato De LevocetiriZina ODT 5mg 10 Comprimidos,"R$20,13",Zina
Sal De Fruta Eno Limão Pó Efervescente 100g,"R$138,99",Eno
Zyxem Dicloridrato De Levocetirizina 5mg 10 Comprimidos,"R$22,09",Zyxem
Resolor Succinato De Prucaloprida 1mg 14 Comprimidos,"R$24,99",Resolor
Resolor Succinato De Prucaloprida 2mg 28 Comprimidos,"R$51,59",Resolor
"Laxante Dulcolax Gotas 7,5mg/Ml 30ml","R$28,39",Dulcolax
Ondansetrona 8mg 10 Comprimidos Medley Genérico,"R$69,98",Medley
Neosaldina Analgésico Gotas 15ml,"R$148,99",Neosaldina
Bravan HCT Valsartana 160mg + Hidroclorotiazida 25mg 30 Comprimidos,"R$307,00",Bravan
Fosfato De Oseltamivir 45mg 10 Cápsulas Natcofarma Genérico,"R$36,92",Natcofarma
Teroquatro Trometamol Cetorolaco 4mg Solução Oftálmica 5ml,"R$34,99",Teroquatro
Ibandronato De Sódio 150mg 3 Comprimidos Biolab Genérico,"R$44,79",Biolab
Lansoprazol 15mg 28 Cápsulas Medley Genérico,"R$77,49",Medley
Nujol Óleo Mineral 120ml,"R$117,49",Nujol
Rinosoro Alto Volume Infantil 15 Sachês,"R$33,83",Rinosoro
Resolor Succinato De Prucaloprida 2mg 14 Comprimidos,"R$172,99",Resolor
"Maresis 0,9% Descongestionante Spray Nasal Jato Forte 100ml","R$60,39",Maresis
Sanasar 250mg/Ml Emulsão 100ml,"R$21,90",Sanasar
Flanax Naproxeno Sódico 275mg 2 Comprimidos,"R$5,19",Flanax
Advil 12h Ibuprofeno 600mg 2 Comprimidos,"R$8,65",Advil
Hedra Expec 7mg/Ml Cereja Solução Oral 100ml,"R$26,69",Expec
Bezafibrato 400mg 30 Comprimidos Glenmark Genérico,"R$116,99",Glenmark
Doralgina Dipirona Sódica 300mg + Isometepteno 30mg + Cafeína 30mg 4 Drágeas,"R$4,90",Doralgina
Nuromol Ibuprofeno 200mg + Paracetamol 500mg Com 6 Comprimidos,"R$17,89",Nuromol
Cisteil 600mg Granulado Solúvel Expectorante 16 Envelopes Com 5g Cada,"R$52,19",Cisteil
Sorine Infantil Descongestionante Gotas 30ml,"R$18,79",Sorine
Takil Tinidazol 20mg/G + Tioconazol 30mg/G Creme Vaginal 35g,"R$93,50",Takil
"Ciloxan Ciprofloxacino 3,5mg/Ml Solução Oftálmica 5ml","R$33,59",Ciloxan
Fumasil 300mg Comprimidos Para Parar De Fumar 60 Unidades,"R$68,52",Fumasil
Leps ER 250mg 30 Comprimidos,"R$30,79",Leps
Avalox Cloridrato De Moxifloxacino 400mg 7 Comprimidos,"R$320,98",Avalox
Sinustrat Forte Descongestionante Spray 10ml,"R$20,39",Sinustrat
Cloridrato De Ondansetrona 8mg 10 Comprimidos Biolab Genérico Sabor Morango,"R$26,69",Biolab
Allexofedrin Pediátrico 6mg/Ml Suspensão Oral 150ml,"R$72,49",Allexofedrin
Sinudoron Berberis Vulgaris D2 + Associações Solução Oral 50ml,"R$103,49",Weleda
Probiótico Florax 5 Flaconetes De 5ml,"R$52,79",Florax
Cafilisador Dipirona Sódica 500mg + Cafeína 65mg 16 Comprimidos,"R$49,15",Cafilisador
Doralgina Dipirona Sódica 300mg + Isometepteno 30mg + Cafeína 30mg 10 Drágeas,"R$11,61",Doralgina
Carbocisteína 50mg/Ml Xarope 100ml Prati Donaduzzi Genérico,"R$29,36",Carbocisteina
Ibuprofeno 400mg 10 Cápsulas Gel Mole Cimed Genérico,"R$14,84",Ibuprofeno
Mirador Cólica 20 Comprimidos,"R$16,80",Mirador
Fly250 250mg 20 Cápsulas,"R$54,52",Fly
Cristais De Gengibre E Limão Natz 20g,"R$13,99",Natz
Cocculine 6 Doses,"R$49,39",Cocculine
"Monax Furoato De Mometasona 50mcg Spray Nasal 9,5ml","R$37,04",Monax
Resfenol Paracetamol 400mg + Cloridrato Fenillefrina 4mg + Maleato De Clorfeniramina 4mg 5 Cápsulas,"R$48,01",Resfenol
Sinudoron Berberis Vulgaris D2 + Associações Glóbulos 20g,"R$7,35",Weleda
Desloratadina 5mg 10 Comprimidos EMS Genérico,"R$108,90",Desloratadina
Pioletal Plus 50mg/Ml Loção 60ml,"R$37,49",Pioletal
"Maresis 0,9% Descongestionante Spray Nasal Jato Forte 150ml","R$45,42",Maresis
Luftafem Ibuprofeno 200mg + Paracetamol 500mg 12 Comprimidos,"R$82,93",Luftafem
Mel Natz Orgânico 280g,"R$32,99",Natz
"Lur Desloratadina 0,5mg/Ml Xarope 60ml","R$28,99",Lur
"Maxiflox Ciprofloxacino 3,5mg Solução Oftálmica 5ml","R$42,79",Maxiflox
"Dipropionato De Betametasona 0,5mg/G + Sulfato De Gentamicina +1mg/G Bisnaga 30g EMS Genérico","R$32,99",Ems
"Atacand HCT Candesartana Cilexetila 8mg + Hidroclorotiazida 12,5mg 30 Comprimidos","R$21,69",Atacand
Cimegripe Muc Acetilcisteína 600mg 10 Comprimidos Efervescentes,"R$121,10",Cimegripe
Melhoral Ácido Acetilsalicílico 500mg + Cafeína 30mg 8 Comprimidos,"R$17,48",Melhoral
Dorflex UNO Dipirona 1g 10 Comprimidos Efervescentes,"R$14,49",Dorflex Uno
Dipirona Monoidratada 500mg Caixa 10 Comprimidos Sanofi Medley Genérico,"R$33,00",Dipirona
Senareti 9mg Geleia 150g,"R$6,05",Senareti
Deltametril D 4% Emulsão Capilar Frasco 100ml,"R$50,99",Deltametril
Antialérgico Allegra Pediátrico Cloridrato De Fexofenadina 6mg/Ml Suspensão Oral 60ml Com Copo Dosador,"R$33,99",Allegra
Bala De Gengibre Natz 40g,"R$7,49",Natz
Rinosoro Alto Volume Infantil 15 Sachês + Frasco 120ml,"R$55,30",Rinosoro
"Descon Maleato De Bronfeniramina 2mg + Cloridrato De Fenilefrina 2,5mg Sabor Uva Gotas 20ml","R$13,99",Descon
Salmeterol 25mcg + Fluticasona 125mcg 120 Doses Glenmark Genérico,"R$117,30",Salmetero + Fluticasona
Pastilha Vick Drops Gengibre 20 Unidades,"R$12,99",Vick
Pastilha Vick Drops Mentol 20 Unidades,"R$14,79",Vick
Flanax Naproxeno Sódico 275mg 8 Comprimidos,"R$14,09",Flanax
Permetrina 10mg/G Loção 60ml Prati Donaduzzi Genérico,"R$20,99",Prati Donaduzzi
Extrato De Própolis Vermelha Apis Vida Propoflex Solução Gotas 30ml,"R$47,52",Apis Vida
Sal De Fruta Eno Tônica Pó Efervescente 100g,"R$27,24",Eno
Gelmax Hortelã Suspensão Oral 240ml,"R$46,43",Gelmax
Benedesc Plus Maleato De Bronfeniramina 2mg + Cloridrato De Fenilefrina 5mg Xarope 120ml,"R$22,28",Benedesc
Extrato De Própolis Verde Nanoprópolis 20ml,"R$47,09",Apis Vida
Advil Ibuprofeno 400mg 16 Cápsulas,"R$41,84",Advil
Cáscara Sagrada Herbarium 45 Cápsulas,"R$58,23",Herbarium
"Maresis AR 0,9% Descongestionante Spray Nasal 100ml","R$40,76",Maresis
Pyloripac Lansoprazol 30mg + Claritromicina 500mg + Amoxicilina 500mg 112 Cápsulas,"R$59,39",Pyloripac
Dipirona Monoidratada 1g 20 Comprimidos Neo Química Genérico,"R$442,01",Dipirona Sodica
Dipirona 500mg + Cafeína 65mg 16 Comprimidos Neo Química Genérico,"R$24,57",Dipirona Sodica+Cafeina
Desloratadina 5mg 30 Comprimidos EMS Genérico,"R$22,29",Desloratadina
Alivium Ibuprofeno 400mg 10 Cápsulas,"R$95,53",Alivium
Flexenema 160mg + 60mg Solução Retal 130ml,"R$29,19",Flexenema
Silimalon Silimarina 70mg + Racemetionina 100mg 10 Comprimidos,"R$21,47",Silimalon
Antialérgico Allegra Cloridrato De Fexofenadina 120mg 2 Comprimidos,"R$22,59",Allegra
Cloridrato De Sibutramina Monoidratado 15mg 60 Cápsulas Eurofarma Genérico,"R$16,79",Eurofarma
Cristais De Gengibre E Cereja Natz 20g,"R$125,98",Natz
"Maleato De Bronfeniramina 2mg/Ml + Cloridrato De Fenilefrina 2,5mg/Ml Solução Gotas 20ml Neo Química Genérico","R$7,69",Neo Química
Cloridrato De Fexofenadina 6mg/Ml Suspensão Oral 150ml Vitamedic Genérico,"R$11,90",Fexofenadina
Alergomine Maleato De Dexclorfeniramina 2mg - 20 Comprimidos,"R$57,21",Alergomine
"Rinilav Cloreto De Sódio 0,9% Refil 30 Envelopes De 2,2g","R$7,90",Rinilav
XO PIOLHO CAP + PENTE REMOVEDOR GRATIS,"R$64,39",Xô Piolho
Trometamol Cetorolaco 10mg 30 Comprimidos Neo Química Genérico,"R$59,90",Cetorolaco de Trometamina
"Hemitartarato De Zolpidem 12,5mg 30 Comprimidos Eurofarma Genérico","R$67,02",Hemitartarato de Zolpidem
Dipirona Monoidratada 500mg/Ml Solução Gotas 20ml Neo Química Genérico,"R$85,99",Neo Química
"Maresis AR 0,9% Descongestionante Spray Nasal 150ml","R$7,99",Maresis
Cimegripe Dia 20mg + 800mg 12 Comprimidos,"R$84,55",Cimegripe
Naproxeno Sódico 550mg 20 Comprimidos Neo Química Genérico,"R$20,99",Naproxeno
"Triquilar Levonorgestrel 0,05mg + Etinilestradiol 0,03mg 63 Comprimido","R$39,80",Triquilar
Cloridrato De Sertralina 25mg - 30 Comprimidos Biosintética Genérico,"R$27,59",Cloridrato de Sertralina
Sigma Clav BD Amoxicilina Tri-Hidratada 875mg + Clavulanato De Potássio 125mg 20 Comprimidos,"R$41,99",Sigma-Clav
Beclosol Dipropionato De Beclometasona 50mcg Spray Nasal Aquoso 200 Doses,"R$116,49",Beclosol
Bromazepam 6mg 30 Comprimidos Aché Genérico,"R$86,99",Aché
Sedamed Dipirona 300mg + Mucato De Isometepteno 30mg + Cafeína 30mg - 10 Comprimidos,"R$27,69",Sedamed
Sonridor Caf Paracetamol 500mg + Cafeína 65mg 2 Comprimidos Efervecentes,"R$6,90",Sonridor
Antialérgico Allegra Pediátrico Cloridrato De Fexofenadina 6mg/Ml Suspensão Oral 150ml Com Copo Dosador,"R$8,44",Allegra
Paracetamol 750mg 4 Comprimidos Neo Química Genérico,"R$90,14",Paracetamol
Paracetamol Bwell 500mg + Cafeina 65mg 30 Comprimidos,"R$3,89",bwell
Emgality Galcanezumabe 120mg/Ml Solução Injetável 1ml Geladeira,"R$1430,92",Libbs
Ibuflex Ibuprofeno 400mg 4 Cápsulas,"R$6,90",Ibuflex
Vick VapoRub Descongestionante Pomada 100g,"R$92,99",Vick
Plesonax Bisacodil 5mg 4 Comprimidos,"R$1,95",Plesonax
Cefadrin Paracetamol 500mg + Cafeína 65mg 20 Comprimidos,"R$20,10",Cefadrin
